school_name,city,state,website
christian collegiate academy,gulfport,mississippi,http://ccagulfport.com/
cedars academy next generation h s at highland,austin,texas,http://cedars-hs.org/
central linn high school,halsey,oregon,http://centrallinn.k12.or.us/high-school/
central noble high school,albion,indiana,http://centralnoble.k12.in.us/cnjshs/cnjshs-home
charlottesville high school,charlottesville,virginia,http://charlottesvilleschools.org/chs/
john f kennedy senior high school,cheektowaga,new york,http://cheektowagasloan.org/domain/8
centerville sr high school,centerville,indiana,http://chs.centerville.k12.in.us/
clatskanie middlehigh school,clatskanie,oregon,http://clatskaniehigh.or.ch.schoolinsites.com/
columbia montour avts,bloomsburg,pennsylvania,http://cmvt.us/
el capitan public school,colorado city,arizona,http://coloradocusd.cyberschool.com/ECHS
corner high school,dora,alabama,http://cornerhigh.jefcoed.com/
cornerstone charter school,phoenix,arizona,http://cornerstonehs.org/cwp/
creekside charter,olympic valley,california,http://creeksidesquaw.org/
crescent school,hempstead,new york,http://crescenthighschool.com/
digital arts and technology,albuquerque,new mexico,http://datacharter.org/
digital arts and technology academy,albuquerque,new mexico,http://datacharter.org/
davis high school,davis,oklahoma,http://davis.k12.ok.us
douglas city elementary,douglas city,california,http://dcesd.org/
denbigh high school,newport news,virginia,http://denbigh.nn.k12.va.us/
devine high school,devine,texas,http://dhs.devineisd.org/
discovery high school,newton,north carolina,http://dhs.newton-conover.org/
dillon christian school,dillon,south carolina,http://dillonchristianschool.org/
desert mirage high school,thermal,california,http://dmhs.cvusd.us/
democracy prep endurance charter school,new york,new york,http://dpehs.democracyprep.org/about/
democracy prep harlem high school,new york,new york,http://dphhs.democracyprep.org/
hector j garcia early college high school,laredo,texas,http://earlycollege.elisd.org/
east high,salt lake city,utah,http://east.slcschools.org/
east coweta high school,newnan,georgia,http://echs.cowetaschools.net/en-US
j d clement early college high school,durham,north carolina,http://echs.dpsnc.net/
emily griffith high school,denver,colorado,http://eghs.egtc.net/
elgin high school,elgin,oklahoma,http://elginhs.sharpschool.net/
emery secondary,emeryville,california,http://emeryhigh.com/
epic high school north,south richmond hill,new york,http://epicschoolsnyc.org/
escambia county high school,atmore,alabama,http://escambia.al.ech.schoolinsites.com/
eureka county high school,eureka,nevada,http://eurekacountyhs.ss8.sharpschool.com/
excelsior springs high,excelsior springs,missouri,http://excelsiorshs.ss9.sharpschool.com
family community christian school,winnsboro,louisiana,http://fccswarriors.weebly.com/
faith christian school,rocky mount,north carolina,http://fcspatriots.com/
forest school,oak grove,louisiana,http://fhs.sharpschool.net/
fontainebleau high school,mandeville,louisiana,http://fontainebleauhigh.stpsb.org/
fowler high school,fowler,michigan,http://fowlerschools.net/
phillip j patino school of entrepreneurship,fresno,california,http://fresnounified.org
fall river junior senior high,mcarthur,california,http://frhs.frjusd.org/
fair view high continuation,chico,california,http://fvhs.chicousd.org/
flowing wells high school,tucson,arizona,http://fwhs.flowingwellsschools.org/
east columbus high school,lake waccamaw,north carolina,http://gatorseast.com/wordpress1/
greensburg community high school,greensburg,indiana,http://gchs.greensburg.k12.in.us/
greencastle high school,greencastle,indiana,http://ghs.greencastle.k12.in.us/
gridley high,gridley,california,http://ghs.gusd.org/
central catholic middle and high schools,grand island,new york,http://gicentralcatholic.org/
gilpin county undivided high school,black hawk,colorado,http://gilpin.k12.co.us/school_info/gilpin_secondary
gladstone area high school,gladstone,michigan,http://gladstone.ss8.sharpschool.com/
gleason school,gleason,tennessee,http://gls.weakleyschools.com/
goode stem academy high school,chicago,illinois,http://goodestemacademy.org/
hampton park christian school,greenville,south carolina,http://hamptonpark.school/
harding fine arts academy,oklahoma city,oklahoma,http://hardingfinearts.org/
houston high school,houston,ohio,http://hardinhouston.org/jr-sr-high-school/
the harid conservatory,boca raton,florida,http://harid.edu/
helen bernstein high school,hollywood,california,http://hbdragons.com/
heritage christian academy,hopkinsville,kentucky,http://hcahopkinsville.org/
heritage high school,newport news,virginia,http://heritage.nn.k12.va.us/
hero high school,bronx,new york,http://herohigh.net/
hillcrest high,midvale,utah,http://hhs.canyonsdistrict.org/
humboldt high school,humboldt,tennessee,http://hhs.hcsvikings.org/
hughson high,hughson,california,http://hhs.hughsonschools.org/
hickory christian academy,hickory,north carolina,http://hickorychristianacademy.com/
central lee high school,donnellson,iowa,http://highschool.centrallee.org/
heavener high school,heavener,oklahoma,http://highschool.heavenerschools.org/
hadley luzerne high school,lake luzerne,new york,http://hlhs.hlcs.org/mobile/default.asp
holdenville high school,holdenville,oklahoma,http://holdenville.k12.ok.us/SITES/hhs/high_school.htm
earlham high school,earlham,iowa,http://home.ecsdcards.com/schools/high
honey grove high school,honey grove,texas,http://honeygroveisd.net/
hoosick falls middle school,hoosick falls,new york,http://hoosickfallscsd.org/middle-school/
bayless senior high,saint louis,missouri,http://hs.baylessk12.org/
bellefontaine high school,bellefontaine,ohio,http://hs.bellefontaine.k12.oh.us/
lovell high school,lovell,wyoming,http://hs.bgh2.org/
south hunterdon regional high school,lambertville,new jersey,http://hs.shrsd.org/
cannon falls secondary school,cannon falls,minnesota,http://hsms.cannonfallsschools.com/
high technical high school,secaucus,new jersey,http://hths.hcstonline.org/
hoopa valley high school,hoopa,california,http://hvhs.ktjusd.k12.ca.us/
ider school,ider,alabama,http://iderhighschool.ss18.sharpschool.com/
international high school at union square,new york,new york,http://ihs-us.org/
county line high school,branch,arkansas,http://indians.wsc.k12.ar.us/
yccs innovations of arts integr high school,chicago,illinois,http://innovationshs.org/
barnum secondary,barnum,minnesota,http://isd91.org/high-school/
junction city sr high school,junction city,kansas,http://jchs.usd475.org/
thomas jefferson high school,cedar rapids,iowa,http://jefferson.crschools.us/
corner canyon high school,sandy,utah,http://jhs.canyonsdistrict.org/Jordan_High_School/Home.html
john milledge academy,milledgeville,georgia,http://johnmilledge.org/
bloomfield junior senior high school,bloomfield,indiana,http://jrsrhsbloomfieldk12.ss14.sharpschool.com/
jumpertown high school,booneville,mississippi,http://jumpertowncardinals.com/
southern university laboratory virtual school,baton rouge,louisiana,http://k12.com
kalida high school,kalida,ohio,http://kalidaschools.org/
kingman academy of learning high school,kingman,arizona,http://kaolaz.org/calendar.html
central high school,kirtland,new mexico,http://kchs.centralschools.org/
kipp ma,lynn,massachusetts,http://kippma.org/
falls city high school,klamath falls,oregon,http://ksd.dev.projecta.com/SectionIndex.asp?SectionID=58
falls city senior high school,klamath falls,oregon,http://ksd.dev.projecta.com/SectionIndex.asp?SectionID=58
lafayette christian school,lagrange,georgia,http://lafayettechristianschool.com/
lafayette high school,oxford,mississippi,http://lafayettecsdhs.ss16.sharpschool.com/
louisiana school for agricultura science,bunkie,louisiana,http://lasas.avoyellespsb.edlioschool.com/
laurel christian school,laurel,mississippi,http://laurelchristian.org/
lewis cass high school,walton,indiana,http://lchs.lewiscass.net/
lewis central high school,council bluffs,iowa,http://lchs.lewiscentral.org/
leake academy,madden,mississippi,http://leakeacademy.org/
leland public school,leland,michigan,http://lelandschool.ss16.sharpschool.com/contact_us/staff_directory
lewis county high school,weston,west virginia,http://lewisboe.com/lchs/page/home
lamphere high school,madison heights,michigan,http://lhs.lamphereschools.org/
leicester high school,leicester,massachusetts,http://lhs.leicester.k12.ma.us/
literacy first charter,alpine,california,http://libertychs.org/faculty.php
liberty center high school,liberty center,ohio,http://libertycls.ss9.sharpschool.com/schools/high_school
linden kildare high school,linden,texas,http://lkcisd.net/
los molinos high,los molinos,california,http://lmhs.lmusd.net/
lincoln orens middle school,island park,new york,http://loms.ips.k12.ny.us/
lone jack high,lone jack,missouri,http://lonejackc6.net/high_school/
louisiana high,louisiana,missouri,http://louisiana.k12.mo.us/
lees summit senior high,lees summit,missouri,http://lshs.lsr7.org/
lund high school,lund,nevada,http://lund.whitepine.k12.nv.us/
mark armijo academy,albuquerque,new mexico,http://markarmijo.com/
marshall academy,marshall,michigan,http://marshallacademy.org
marine academy of science and technology,north miami,florida,http://mastfiu.dadeschools.net/
mcnairy central high school,selmer,tennessee,http://mchscats.org/
mclean school,mclean,texas,http://mcleanisd.com/
mendota township high school,mendota,illinois,http://mendotahs.org
metter career academy,metter,georgia,http://metter-high-school.candler-county-school-district.schoolblocks.com/
madison grant high school,fairmount,indiana,http://mghs.mgusc.k12.in.us/
madison grant juniorsenior high school,fairmount,indiana,http://mghs.mgusc.k12.in.us/
mansfield high school,mansfield,massachusetts,http://mhs.mansfieldschools.com/
modoc high school,alturas,california,http://mhs.modoc.k12.ca.us/
morrisonville high school,morrisonville,illinois,http://mhsmohawks.weebly.com
mid buchanan senior high,faucett,missouri,http://midbuchananhighschool.ss14.sharpschool.com/
mill river union high school,north clarendon,vermont,http://millriverschools.org/mru/
city of life christian academy,kissimmee,florida,http://mostsacredheartschool.org/
sacred heart elementary and high school,sedalia,missouri,http://mostsacredheartschool.org/
thousand islands middle school,clayton,new york,http://ms.1000islandsschools.org/
the math and science exploratory school ms 447,brooklyn,new york,http://ms447.org/
mt saint mary academy,little rock,arkansas,http://mtstmary.edu
mesilla valley christian schools,las cruces,new mexico,http://mvcsonline.com/
monte vista senior high school,monte vista,colorado,http://mvhs.monte.k12.co.us/
navarro early college high school,austin,texas,http://navarro.austinschools.org/
north bend central high school,north bend,nebraska,http://nbtigers.org/
hartville high,hartville,missouri,http://new-hartville-k12-mo-us.secure33.ezhostingserver.com/
narrows high,narrows,virginia,http://nhs.gilesk12.org/
north kitsap high school,poulsbo,washington,http://nkhs.nkschools.org/
nodaway valley high school,greenfield,iowa,http://nodawayvalley.org/
polk full time eschool,lakeland,florida,http://nodawayvalley.org/
north cedar academy,rusk,wisconsin,http://northcedar.net/
early college east high,havelock,north carolina,http://northwestjmsteel.ss10.sharpschool.com/
james m steele high school,roanoke,texas,http://northwestjmsteel.ss10.sharpschool.com/
north platte catholic schools,north platte,nebraska,http://npcschools.org/
north sevier high school,salina,utah,http://nshs.seviersd.org/
north valley baptist school,santa clara,california,http://nvbschools.org/
nevada learning academy,las vegas,nevada,http://nvlearningacademy.net/
high school for community leadership,jamaica,new york,http://nychscl.org/
oakdale secondary school,chico,california,http://oakdale.chicousd.org/
odyssey charter school,wilmington,delaware,http://odysseycharterschooldel.com/
odyssey charter high school,las vegas,nevada,http://odysseyk12.org/
orchard farm sr high school,st charles,missouri,http://ofsd.sharpschool.com/schools/orchard_farm_high_school
opp high school,opp,alabama,http://ohs.oppcityschools.com/
orcas island high school,eastsound,washington,http://ohs.orcasislandschools.org/
okeechobee high school,okeechobee,florida,http://okeechobeehighschool.sites.thedigitalbell.com/
okeechobee virtual school,okeechobee,florida,http://okeechobeevirtualschool.sites.thedigitalbell.com/
pace high school,new york,new york,http://pacehsnyc.org/site/
paint rock school,paint rock,texas,http://paintrock.netxv.net/
paintsville high school,paintsville,kentucky,http://paintsville.kyschools.us/index.php/high-school/
norfork high school,norfork,arkansas,http://panthers.k12.ar.us/
pettisville high school,pettisville,ohio,http://pettisvilleschools.org
pettus secondary,pettus,texas,http://pettusisd.com/
paonia high school,paonia,colorado,http://phs.deltaschools.com/
parowan high,parowan,utah,http://phs.ironk12.org/
parowan high school,parowan,utah,http://phs.ironk12.org/
pickens academy,carrollton,alabama,http://pickensacademy.org/
pocomoke middle,pocomoke city,maryland,http://pocomokemiddle.org/
williamsburg christian academy,williamsburg,virginia,http://private-christian-school.williamsburgchristian.org/
pearl river middle school,pearl river,new york,http://prms.pearlriver.org/
ps 122 mamie fay,queens,new york,http://ps122q.org/
ps 171 patrick henry,new york,new york,http://ps171.org/
30th avenue school,queens,new york,http://ps300q.org/
ps 164 queens valley,flushing,new york,http://psms164.com/
paula hedbavny school,new york,new york,http://psms278.org/
putnam valley middle school,putnam valley,new york,http://pvcsd.org/index.php/ms/
queens high school for language studies,flushing,new york,http://qhsls.org/
rowan county early college,salisbury,north carolina,http://rcec.rss.k12.nc.us/
ridgewood preparatory school,metairie,louisiana,http://ridgewoodprep.com/
rising leaders academy,panama city,florida,http://risingleadersacademy.org/
rainey mccullers school of the arts,columbus,georgia,http://rmsota.org/
rockland boces,west nyack,new york,http://rocklandboces.org/
rock springs high school,rock springs,wyoming,http://rshs.sweetwater1.org/
real salt lake academy high school,herriman,utah,http://rslacademy.org/
rock valley high school,rock valley,iowa,http://rvcsd.net/index.php/welcome-to-rock-valley-community-high-school/
st bernards academy,eureka,california,http://saintbernards.us/
sterling heights senior high school,sterling heights,michigan,http://school.wcskids.net/shhs/
butler traditional high school,louisville,kentucky,http://schools.jefferson.kyschools.us/High/Butler/
schulenburg secondary,schulenburg,texas,http://schulenburgisd.net/campuses/high_school
scott high school,madison,west virginia,http://scotthighskyhawks.com/
stevenson high school,stevenson,washington,http://scsd303-shs.ss14.sharpschool.com/
sangre de cristo undivided high school,mosca,colorado,http://sdc.schooldesk.net
nebo advanced learning center,salem,utah,http://shhs.nebo.edu/
seymour senior high school,seymour,indiana,http://shs.scsc.k12.in.us/
calamus wheatland sec attendance center,wheatland,iowa,http://sites.google.com/a/cal-wheat.net/calwheat/
van horn high school,independnce,missouri,http://sites.isdschools.org/vanhorn
william chrisman high school,independence,missouri,http://sites.isdschools.org/williamchrisman
lufkin high school,lufkin,texas,http://sites.lufkinisd.org/lhs/
salt lake center for science education,salt lake city,utah,http://slcse.slcschools.org/
sound school,new haven,connecticut,http://sound.school/
southeastern juniorsenior high school,augusta,illinois,http://southeastern337.sharpschool.net/jr__sr_high_school/mr__kerr__jr_sr_high_school_principal_
saint thomas aquinas regional catholic high school,hammond,louisiana,http://stafalcons.org/
st thomas aquinas high school,hammond,louisiana,http://stafalcons.org/
stone bridge,napa,california,http://stonebridgeschool.org/
yccs sullivan house alt high school,chicago,illinois,http://sullivanhousehschicago.com/
sumter central high school,york,alabama,http://sumtercentralhigh.al.schoolinsites.com/?PageName=Directions
silver valley high,yermo,california,http://svhs.svusdk12.net/
tag young scholars school,new york,new york,http://tagscholars.com/
turner ashby high school,bridgewater,virginia,http://tahs.rockingham.k12.va.us/
tri central middlehigh school,sharpsville,indiana,http://tccsmshs.ss7.sharpschool.com/
tupelo christian preparatory school,belden,mississippi,http://tcps.net/
tenoroc high school,lakeland,florida,http://tenoroc.polk-fl.net/
terrell high school,dawson,georgia,http://terrell_hs.campuscontact.com/
thayer senior high,thayer,missouri,http://thayer-hs.ss11.sharpschool.com/
sibley ocheyedan high school,sibley,iowa,http://thegenerals2.socsdit.org/high-school/
the north carolina leadership academy,kernersville,north carolina,http://thencla.org/
madrasatu ahlis sunnah,east orange,new jersey,http://thesunnah.org/school
tranquillity high school,tranquillity,california,http://ths.gpusd.net/
charleston high school,charleston,arkansas,http://tigers.wsc.k12.ar.us/highschool.htm
toledo early college high school,toledo,ohio,http://toledoearlycollege.com/
trivium charter,santa maria,california,http://triviumcharter.org
tygarts valley middlehigh school,mill creek,west virginia,http://tvmhs.rand.k12.wv.us/contact.html
urban assembly school for global commerce,new york,new york,http://uaglobalcommerce.org/
university heights academy,hopkinsville,kentucky,http://uha-ky.org/
uniontown area senior high school,uniontown,pennsylvania,http://uhs.uasdschools.org/
university high school fresno,fresno,california,http://uhsfresno.com/
union county high school,lake butler,florida,http://union_uchs.campuscontact.com/
stpps virtual school,mandeville,louisiana,http://virtualacademy.stpsb.org/
verdigris high school,claremore,oklahoma,http://vps.k12.ok.us
w s neal high school,east brewton,alabama,http://w.s.nealhigh.al.ech.schoolinsites.com/
jacqueline m walsh school,pawtucket,rhode island,http://walsh.pawtucket.schooldesk.net/
wayne christian school,goldsboro,north carolina,http://waynechristian.org/
central high school,wartburg,tennessee,http://wchs.mcsed.net/index.html
barbara ingram school for the arts,hagerstown,maryland,http://wcpsmd.com/schools/high-schools/barbara-ingram-school-arts
boonsboro high school,boonsboro,maryland,http://wcpsmd.com/schools/high-schools/boonsboro-high
hancock middle senior high school,hancock,maryland,http://wcpsmd.com/schools/high-schools/hancock-high
north hagerstown high school,hagerstown,maryland,http://wcpsmd.com/schools/high-schools/north-hagerstown-high
claiborne high school,new tazewell,tennessee,http://web.claibornecountyschools.com/chs/
west perry senior high school,elliottsburg,pennsylvania,http://westperry.org/
windom senior high,windom,minnesota,http://windomhs.ss13.sharpschool.com/
white oak high school,white oak,texas,http://wohs.wonecks.net/
iroquois west high school,gilman,illinois,http://wp12.iwest.k12.il.us/wordpress/iwhs/
walton verona high school,walton,kentucky,http://wv.kyschools.us/high
thousand islands high school,clayton,new york,http://www.1000islandsschools.org/
ps 229 dyker,brooklyn,new york,http://www.229k.org/
academy of american studies,long island city,new york,http://www.academyofamericanstudies.com/
almira coulee hartline high school,coulee city,washington,http://www.achsd.org/hsmain.htm
agua dulce high school,agua dulce,texas,http://www.adisd.esc2.net/
amistad academy,new haven,connecticut,http://www.afamistadhs.org/
alamance christian school,graham,north carolina,http://www.alamancechristianschool.org/
alpine academy high school,sparks,nevada,http://www.alpineacademy.net/
altha public high school,altha,florida,http://www.althaschool.org/
alvord high school,alvord,texas,http://www.alvordisd.net/
amboy high school,amboy,illinois,http://www.amboy.net
amityville memorial high school,amityville,new york,http://www.amityvilleschools.org/schools/amityville_memorial_high_school
anamosa high school,anamosa,iowa,http://www.anamosa.k12.ia.us/
archbishop coleman carroll high school,miami,florida,http://www.archbishopcolemancarroll.org/CatholicSchool.php
argyle juniorsenior high school,argyle,new york,http://www.argylecsd.org
athol high,athol,massachusetts,http://www.arrsd.org/athol-high-school/
arts academy in the woods,fraser,michigan,http://www.artsacad.net/
auburndale senior high school,auburndale,florida,http://www.auburndalehighschool.com/
ballard community senior high school,huxley,iowa,http://www.ballard.k12.ia.us/school/ballard-high-school/
bandon senior high school,bandon,oregon,http://www.bandon.k12.or.us/bandon-high-school/
bay virtual instruction program,panama city,florida,http://www.bayvirtualschool.com/
boyd buchanan school,chattanooga,tennessee,http://www.bbschool.org/
brooklyn community arts and media high school bcam,brooklyn,new york,http://www.bcamhs.org/
bedford academy high school,brooklyn,new york,http://www.bedfordacademyhs.org/
belchertown high school,belchertown,massachusetts,http://www.belchertownps.org/belchertown-high-school
bellevue high school,bellevue,iowa,http://www.bellevue.k12.ia.us/staffdirectory
belmont academy,lake city,florida,http://www.belmontacademy.com/
bennington high school,bennington,nebraska,http://www.benningtonschools.org/
bernie high,bernie,missouri,http://www.bernie.k12.mo.us/
john f kennedy middle school,bethpage,new york,http://www.bethpagecommunity.com/ourschools/jfk
beverly high,beverly,massachusetts,http://www.beverlyschools.org/
big sur charter,monterey,california,http://www.bigsurcharterschool.org/
colorado river collegiate academy,bastrop,texas,http://www.bisdtx.org/
bishop timon st jude high school,buffalo,new york,http://www.bishoptimon.com/
bronx leadership academy ii high school,bronx,new york,http://www.bla2hs.org/
blountstown high school,blountstown,florida,http://www.blountstownhigh.org/
bellwood anits high school,bellwood,pennsylvania,http://www.blwd.k12.pa.us/
broward math and science schools,margate,florida,http://www.bmsschools.org/
bonsall high,bonsall,california,http://www.bonsallhs.com/
brashier middle college charter high school,simpsonville,south carolina,http://www.brashiermiddlecollege.org/
brazos high school,wallis,texas,http://www.brazosisd.net/page/Brazos%20High%20School
beaver river central school,beaver falls,new york,http://www.brcsd.org/schools/high_school
brentwood school,sandersville,georgia,http://www.brentwoodschool.org/
bear river high,garland,utah,http://www.brhs.besd.net/
bark riverharris jrsr high school,harris,michigan,http://www.brhschools.org
bridge creek high school,blanchard,oklahoma,http://www.bridgecreekbobcats.org/high-school/
lipman middle,brisbane,california,http://www.brisbanesd.org/lipman-middle-school
bronte independent school district,bronte,texas,http://www.bronteisd.net/
brooklyn collegiate a college board school,brooklyn,new york,http://www.brooklyncollegiate.net/
browerville high school,browerville,minnesota,http://www.browerville.k12.mn.us/
brown county high school,nashville,indiana,http://www.browncountyschools.com/school/brown-county-high-school/
bullis charter,los altos,california,http://www.bullischarterschool.com/
bronx collaborative high school,bronx,new york,http://www.bxchs.org/
bynum school,bynum,texas,http://www.bynumisd.net/
columbia academy,columbia,mississippi,http://www.cacougars.com/
cadott high,cadott,wisconsin,http://www.cadott.k12.wi.us/
calhoun christian school,battle creek,michigan,http://www.calhounchristian.org/
california virtual academy san mateo high school,simi valley,california,http://www.caliva.org/
calvary baptist academy,shreveport,louisiana,http://www.calvarycavaliers.org/
campbell county comprehensive high school,jacksboro,tennessee,http://www.campbellcntyschs.tn.schools.bz/1/home
jellico high school,jellico,tennessee,http://www.campbellcntyschs.tn.schools.bz/7/home
canton high school,canton,south dakota,http://www.cantonsdk12.org/high-school/
carbondale area juniorsenior high school,carbondale,pennsylvania,http://www.carbondalearea.org/carbondale-area-jrsr-high-school/
coral academy sandy ridge,henderson,nevada,http://www.caslv.org/
calhoun county high school,st matthews,south carolina,http://www.cchs.ccpsonline.net/
honeoye middlehigh school,bohemia,new york,http://www.ccsdli.org/our_schools/connetquot_high_school
cannon county high school,woodbury,tennessee,http://www.ccstn.net/
central springs high school,manly,iowa,http://www.centralsprings.net/high-school.html
chassell k12 school,chassell,michigan,http://www.chassellschools.org
chippewa high school,doylestown,ohio,http://www.chippewa.k12.oh.us/hs
chippewa juniorsenior high school,doylestown,ohio,http://www.chippewa.k12.oh.us/hs
christian academy of myrtle beach,myrtle beach,south carolina,http://www.christianacademysaints.org/
claiborne christian school,west monroe,louisiana,http://www.claibornechristian.org/
clark advanced learning center,stuart,florida,http://www.clarkadvancedlearningcenter.org/
cleveland high school,cleveland,oklahoma,http://www.clevelandtigers.com/portfolio/high-school/
clovis high school,clovis,new mexico,http://www.clovis-schools.org/chs/
col crawford high school,crestline,ohio,http://www.colonel-crawford.k12.oh.us/
walter g oconnell copiague high school,copiague,new york,http://www.copiague.k12.ny.us/our_schools/walter_g_oconnell_copiague_high_school
winter lakes high school,coquille,oregon,http://www.coquille.k12.or.us/winter-lakes-high-school/
cornerstone christian academy,bloomington,illinois,http://www.cornerstonechristian.com/
covington community high school,covington,indiana,http://www.covington.k12.in.us/
center point urbana high school,center point,iowa,http://www.cpuschools.org/en/high_school/
craven early college high,new bern,north carolina,http://www.cravenk12.org/cec
crooksville high school,crooksville,ohio,http://www.crooksville.k12.oh.us/high-school/
colorado springs christian school,colorado springs,colorado,http://www.cscslions.org/
community h s district 99 south high school,downers grove,illinois,http://www.csd99.org/south
community school of davidson,davidson,north carolina,http://www.csdspartans.org/
cuba high school,cuba,missouri,http://www.cuba.k12.mo.us/?page_id=15
dayton regional stem school high school,kettering,ohio,http://www.daytonstemschool.org
denbigh baptist christian school,newport news,virginia,http://www.dbcs.org/index.html
delaware military academy,wilmington,delaware,http://www.demilacad.org/
denali peak,healy,alaska,http://www.denalipeak.org/Peak/
decatur heritage christian academy,decatur,alabama,http://www.dhca.org/
dekalb school of the arts,avondale estate,georgia,http://www.dsa.dekalb.k12.ga.us/
doniphan trumbull secondary,doniphan,nebraska,http://www.dtcardinals.org/
kee high school,lansing,iowa,http://www.e-allamakee.k12.ia.us/
east hollywood high,west valley city,utah,http://www.easthollywood.org/
east hollywood high school,west valley city,utah,http://www.easthollywood.org/
woodland middle school,east meadow,new york,http://www.eastmeadow.k12.ny.us/woodland/index.htm
east mountain high school,sandia park,new mexico,http://www.eastmountainhigh.net/
east mountian high school,sandia park,new mexico,http://www.eastmountainhigh.net/
east buchanan high,gower,missouri,http://www.ebs.k12.mo.us/
monmouth academy,monmouth,maine,http://www.ebs.k12.mo.us/
memorial high,eau claire,wisconsin,http://www.ecasd.us/Memorial-High-School/Home
echols county high school,statenville,georgia,http://www.echols.k12.ga.us/
george h w bush new technical odessa,odessa,texas,http://www.ector-county.k12.tx.us/Domain/3352
east canton high school,east canton,ohio,http://www.ecweb.sparcc.org/groups/15312/high_school/high_school
eddyville charter school,eddyville,oregon,http://www.eddyvillecharterschool.org/
east islip high school,islip terrace,new york,http://www.eischools.org/schools/high_school
el camino high,ventura,california,http://www.elcaminohighatvc.org/
ella baker school,new york,new york,http://www.ellabakerschool.org/
empower college prep high school,phoenix,arizona,http://www.empowercollegeprep.org/
energy tech high school,long island city,new york,http://www.energytechschool.org/
equipo academy,las vegas,nevada,http://www.equipoacademy.org/
east rochester junior senior high school,east rochester,new york,http://www.erschools.org/
flomaton high school,brewton,alabama,http://www.escambiak12.net/
lincoln secondary,esko,minnesota,http://www.esko.k12.mn.us/
evolution academy houston,spring,texas,http://www.evolutionacademy.org/
fabius pompey middle school high school,fabius,new york,http://www.fabiuspompey.org/
martha brown middle school,fairport,new york,http://www.fairport.org/
ad henderson university school and fau high school,boca raton,florida,http://www.fauhigh.fau.edu/
first baptist academy universal city,universal city,texas,http://www.fbauc.com/
first baptist christian school,slidell,louisiana,http://www.fbcseagles.com/
fort elliott school,briscoe,texas,http://www.fecisd.net/
